Temperature[C];Humidity[%];Pressure[hPa];Fire Alarm
9.761359504931352;42.35483222824995;939.658;0
11.895032102107908;15.40084388185654;936.882;0
5.02021697930768;29.023508137432188;937.479;0
18.904538773931538;28.84267631103074;937.602;0
15.331251208663705;32.72051436608398;937.439;0
17.787391220266873;33.09222423146473;937.398;0
35.582521755946615;3.5563592525617826;936.83;0
13.019310384838523;45.34860357645167;939.812;0
18.171658286598333;82.58991360257183;938.725;1
11.901370527944305;16.355234076753064;936.884;0
43.656091665055115;79.8372513562387;939.435;1
17.422931734674147;36.136226642555755;937.313;0
58.06808741055889;46.373317259393204;930.934;1
34.1405298781667;13.522202129797066;936.856;0
33.839454650937924;17.158931082981713;936.886;0
8.20448365886676;31.6355234076753;937.394;0
37.581502804099784;76.86357243319269;938.761;1
-2.382272094372464;36.16636528028933;937.588;0
42.57063624057241;77.10468153506129;938.721;1
10.165434152001549;39.87341772151898;939.617;0
15.82247921098433;38.25597749648382;937.333;0
40.63741636047186;2.4311834438416717;936.734;0
16.78671224134597;42.4854329917621;939.742;0
38.92683368787468;80.1285915209966;939.08;1
17.407085670083152;36.03576451677717;937.481;0
9.761359504931352;42.1740004018485;939.662;0
47.03922645523109;79.93771348201729;938.775;1
47.81568362018952;81.91681735985534;938.678;1
17.834929414039838;33.26300984528832;937.491;1
9.026102107909495;44.2133815551537;936.944;0
59.60515567588473;43.86176411492867;930.948;1
10.579016437826343;43.29917621056861;939.57;0
12.923441694063047;43.20876029736789;939.817;0
43.25439392767356;82.22824994976894;938.9;1
46.516306323728486;83.25296363271046;938.743;1
1.4500986269580345;29.98794454490657;937.551;0
40.490840263005225;77.72754671488848;938.88;1
9.539514600657515;42.374924653405664;939.594;0
28.768713981821694;23.046011653606588;936.88;0
16.266169019532004;36.23668876833433;937.53;0
10.086203829046607;38.10528430781595;939.614;0
9.167132082769292;42.73658830620856;939.623;1
9.45236124540708;38.15551537070524;939.588;0
16.1473235350996;36.33715089411291;937.353;0
16.891296267646492;40.29535864978903;939.745;0
4.96317114678012;27.81796262808921;937.471;0
5.181846838135762;39.029535864978904;939.784;0
12.884618835815122;43.37954591119148;939.648;0
16.20278476116805;35.92525617842073;937.388;0
29.48416379810482;81.12316656620456;939.692;1
-8.713567201701798;36.68876833433795;937.356;0
23.874656932894997;82.47940526421539;939.398;1
15.68699535873139;40.03415712276472;939.833;0
-11.246560626571263;36.678722121760096;937.455;0
48.60006381744343;77.00421940928271;938.722;0
8.034138464513632;42.30460116536066;939.657;0
-2.988384064977758;31.9469559975889;937.544;0
11.67873332044093;36.64858348402652;939.631;0
47.007534326049125;84.02652200120554;939.111;1
46.46084509766001;83.47398030942334;938.788;1
-17.9755919551344;7.283504118947154;936.779;0
5.240477277122412;28.902953586497883;937.455;0
-7.808756913556369;33.19268635724332;937.38;0
14.679185650744532;38.939119951778174;939.618;0
14.847946238638567;39.25055254169178;937.009;0
41.62779539740863;86.30701225637935;939.513;1
8.981733127054728;40.616837452280485;936.972;0
35.20221620576291;12.286517982720511;936.844;0
32.27069425643009;4.9929676511954995;936.673;0
