Jour,Cours,var
328,80.75454554,54.0
329,81.14545463,54.0
330,81.14545463,54.0
331,81.5181819,54.0
332,81.65454554,54.0
333,81.70909099,54.0
334,81.84545463,55.0
335,81.25454554,54.0
336,80.95454554,54.0
337,78.73636372,52.0
338,78.42727281,52.0
339,78.29090917,52.0
340,77.60000008,52.0
341,77.3181819,52.0
342,77.20000008,51.0
343,76.58181826,51.0
344,76.88181826,51.0
345,77.59090917,52.0
346,79.4181819,53.0
347,79.88181826,53.0
348,80.99090917,54.0
349,81.53636372,54.0
350,81.50000008,54.0
351,82.23636372,55.0
352,82.64545463,55.0
353,82.64545463,55.0
354,80.57272735,54.0
355,80.5181819,54.0
356,81.44545463,54.0
357,81.53636372,54.0
358,81.68181826,54.0
359,81.9181819,55.0
360,82.1181819,55.0
361,81.79090917,55.0
362,81.59090917,54.0
363,81.04545463,54.0
364,82.3181819,55.0
365,82.40909099,55.0
366,81.50000008,54.0
367,81.36363645,54.0
368,81.69090917,54.0
369,80.94545463,54.0
370,80.50000008,54.0
371,78.74545462,52.0
372,78.63636372,52.0
373,78.65454553,52.0
374,79.50000008,53.0
375,78.70909099,52.0
376,79.48181826,53.0
377,80.54545463,54.0
378,79.89090917,53.0
379,80.93636372,54.0
380,81.04545463,54.0
381,81.59090917,54.0
382,82.12727281,55.0
383,81.30000008,54.0
384,80.8181819,54.0
385,80.98181826,54.0
386,81.10000008,54.0
387,81.58181826,54.0
388,81.4181819,54.0
389,82.09090917,55.0
390,81.76363645,55.0
391,80.99090917,54.0
392,80.40909099,54.0
393,80.74545463,54.0
394,81.13636372,54.0
395,81.52727281,54.0
396,81.69090917,54.0
397,83.18181827,55.0
398,84.04545463,56.0
399,84.79090918,57.0
400,85.29090918,57.0
401,85.37272736,57.0
402,85.40909099,57.0
403,85.40909099,57.0
404,85.50000009,57.0
405,85.24545463,57.0
406,84.59090918,56.0
407,85.82727281,57.0
408,86.23636372,57.0
409,86.77272736,58.0
410,87.19090918,58.0
411,87.19090918,58.0
412,87.60000009,58.0
413,85.86363645,57.0
414,86.90000009,58.0
415,87.35454554,58.0
416,86.81818191,58.0
417,87.27272736,58.0
418,87.809091,59.0
419,87.68181827,58.0
420,88.05454554,59.0
421,88.01818191,59.0
422,88.05454554,59.0
423,88.18181827,59.0
424,82.30000008,55.0
425,80.73636372,54.0
426,80.23636372,53.0
427,80.48181826,54.0
428,80.75454554,54.0
429,81.49090917,54.0
430,81.99090917,55.0
431,81.73636372,54.0
432,81.88181826,55.0
433,81.40909099,54.0
434,81.12727281,54.0
435,80.90909099,54.0
436,81.60909099,54.0
437,82.30000008,55.0
438,81.84545463,55.0
439,81.43636372,54.0
